	0	1	2	3	Class	clusters
59	5.2	2.7	3.9	1.4	Iris-versicolor	3
60	5.0	2.0	3.5	1.0	Iris-versicolor	3
61	5.9	3.0	4.2	1.5	Iris-versicolor	3
62	6.0	2.2	4.0	1.0	Iris-versicolor	3
63	6.1	2.9	4.7	1.4	Iris-versicolor	1
64	5.6	2.9	3.6	1.3	Iris-versicolor	3
65	6.7	3.1	4.4	1.4	Iris-versicolor	1
66	5.6	3.0	4.5	1.5	Iris-versicolor	3
67	5.8	2.7	4.1	1.0	Iris-versicolor	3
68	6.2	2.2	4.5	1.5	Iris-versicolor	1
69	5.6	2.5	3.9	1.1	Iris-versicolor	3
70	5.9	3.2	4.8	1.8	Iris-versicolor	1
71	6.1	2.8	4.0	1.3	Iris-versicolor	3
72	6.3	2.5	4.9	1.5	Iris-versicolor	1
73	6.1	2.8	4.7	1.2	Iris-versicolor	1
74	6.4	2.9	4.3	1.3	Iris-versicolor	1
75	6.6	3.0	4.4	1.4	Iris-versicolor	1
76	6.8	2.8	4.8	1.4	Iris-versicolor	1
77	6.7	3.0	5.0	1.7	Iris-versicolor	1
78	6.0	2.9	4.5	1.5	Iris-versicolor	1
79	5.7	2.6	3.5	1.0	Iris-versicolor	3
80	5.5	2.4	3.8	1.1	Iris-versicolor	3
81	5.5	2.4	3.7	1.0	Iris-versicolor	3
82	5.8	2.7	3.9	1.2	Iris-versicolor	3
83	6.0	2.7	5.1	1.6	Iris-versicolor	1
84	5.4	3.0	4.5	1.5	Iris-versicolor	3
85	6.0	3.4	4.5	1.6	Iris-versicolor	1
86	6.7	3.1	4.7	1.5	Iris-versicolor	1
87	6.3	2.3	4.4	1.3	Iris-versicolor	1
88	5.6	3.0	4.1	1.3	Iris-versicolor	3
89	5.5	2.5	4.0	1.3	Iris-versicolor	3
90	5.5	2.6	4.4	1.2	Iris-versicolor	3
91	6.1	3.0	4.6	1.4	Iris-versicolor	1
92	5.8	2.6	4.0	1.2	Iris-versicolor	3
93	5.0	2.3	3.3	1.0	Iris-versicolor	3
94	5.6	2.7	4.2	1.3	Iris-versicolor	3
95	5.7	3.0	4.2	1.2	Iris-versicolor	3
96	5.7	2.9	4.2	1.3	Iris-versicolor	3
97	6.2	2.9	4.3	1.3	Iris-versicolor	1
98	5.1	2.5	3.0	1.1	Iris-versicolor	3
99	5.7	2.8	4.1	1.3	Iris-versicolor	3
100	6.3	3.3	6.0	2.5	Iris-virginica	2
101	5.8	2.7	5.1	1.9	Iris-virginica	1
102	7.1	3.0	5.9	2.1	Iris-virginica	2
103	6.3	2.9	5.6	1.8	Iris-virginica	2
104	6.5	3.0	5.8	2.2	Iris-virginica	2
105	7.6	3.0	6.6	2.1	Iris-virginica	2
106	4.9	2.5	4.5	1.7	Iris-virginica	3
107	7.3	2.9	6.3	1.8	Iris-virginica	2
108	6.7	2.5	5.8	1.8	Iris-virginica	2
109	7.2	3.6	6.1	2.5	Iris-virginica	2
110	6.5	3.2	5.1	2.0	Iris-virginica	1
111	6.4	2.7	5.3	1.9	Iris-virginica	1
112	6.8	3.0	5.5	2.1	Iris-virginica	2
113	5.7	2.5	5.0	2.0	Iris-virginica	1
114	5.8	2.8	5.1	2.4	Iris-virginica	1
115	6.4	3.2	5.3	2.3	Iris-virginica	2
116	6.5	3.0	5.5	1.8	Iris-virginica	2
117	7.7	3.8	6.7	2.2	Iris-virginica	2
118	7.7	2.6	6.9	2.3	Iris-virginica	2
119	6.0	2.2	5.0	1.5	Iris-virginica	1
120	6.9	3.2	5.7	2.3	Iris-virginica	2
121	5.6	2.8	4.9	2.0	Iris-virginica	1
122	7.7	2.8	6.7	2.0	Iris-virginica	2
123	6.3	2.7	4.9	1.8	Iris-virginica	1
124	6.7	3.3	5.7	2.1	Iris-virginica	2
125	7.2	3.2	6.0	1.8	Iris-virginica	2
126	6.2	2.8	4.8	1.8	Iris-virginica	1
127	6.1	3.0	4.9	1.8	Iris-virginica	1
128	6.4	2.8	5.6	2.1	Iris-virginica	2
129	7.2	3.0	5.8	1.6	Iris-virginica	2
130	7.4	2.8	6.1	1.9	Iris-virginica	2
131	7.9	3.8	6.4	2.0	Iris-virginica	2
132	6.4	2.8	5.6	2.2	Iris-virginica	2
133	6.3	2.8	5.1	1.5	Iris-virginica	1
134	6.1	2.6	5.6	1.4	Iris-virginica	1
135	7.7	3.0	6.1	2.3	Iris-virginica	2
136	6.3	3.4	5.6	2.4	Iris-virginica	2
137	6.4	3.1	5.5	1.8	Iris-virginica	2
138	6.0	3.0	4.8	1.8	Iris-virginica	1
139	6.9	3.1	5.4	2.1	Iris-virginica	2
140	6.7	3.1	5.6	2.4	Iris-virginica	2
141	6.9	3.1	5.1	2.3	Iris-virginica	2
142	5.8	2.7	5.1	1.9	Iris-virginica	1
143	6.8	3.2	5.9	2.3	Iris-virginica	2
144	6.7	3.3	5.7	2.5	Iris-virginica	2
145	6.7	3.0	5.2	2.3	Iris-virginica	2
146	6.3	2.5	5.0	1.9	Iris-virginica	1
147	6.5	3.0	5.2	2.0	Iris-virginica	1
148	6.2	3.4	5.4	2.3	Iris-virginica	2
149	5.9	3.0	5.1	1.8	Iris-virginica	1
